model,src,tgt,top1,mrr
sentence-transformers/LaBSE,albanian,asante,0.106,0.16256505829171813
sentence-transformers/LaBSE,albanian,assamese,0.875,0.9086927709401623
sentence-transformers/LaBSE,albanian,azeri,0.936,0.9557200792381823
sentence-transformers/LaBSE,albanian,bosnian-mihanovich,0.957,0.9696231193781
sentence-transformers/LaBSE,albanian,bosnian-rwwad,0.958,0.9709171099974403
sentence-transformers/LaBSE,albanian,chinese,0.911,0.9376710934982132
sentence-transformers/LaBSE,albanian,croatian,0.958,0.970451626895843
sentence-transformers/LaBSE,albanian,dutch,0.949,0.9669513328687241
sentence-transformers/LaBSE,albanian,english,0.96,0.9754726817042606
sentence-transformers/LaBSE,albanian,french,0.907,0.9316727124516572
sentence-transformers/LaBSE,albanian,german,0.94,0.9581473275535113
sentence-transformers/LaBSE,albanian,gujarati,0.906,0.9298649640191078
sentence-transformers/LaBSE,albanian,hausa,0.783,0.8291268196003613
sentence-transformers/LaBSE,albanian,indonesian,0.948,0.9654577809756382
sentence-transformers/LaBSE,albanian,japanese,0.917,0.9420265358398058
sentence-transformers/LaBSE,albanian,kannada,0.926,0.949279236473852
sentence-transformers/LaBSE,albanian,khmer,0.922,0.9435800456073328
sentence-transformers/LaBSE,albanian,kurdish,0.066,0.12487541452133752
sentence-transformers/LaBSE,albanian,kyrgyz,0.903,0.9317077614653606
sentence-transformers/LaBSE,albanian,lingala,0.128,0.19528584461913642
sentence-transformers/LaBSE,albanian,lithuanian,0.93,0.9503247710915508
sentence-transformers/LaBSE,albanian,macedonian,0.951,0.9662243381573581
sentence-transformers/LaBSE,albanian,malayalam,0.925,0.94862586755587
sentence-transformers/LaBSE,albanian,moore,0.06,0.10242726428474916
sentence-transformers/LaBSE,albanian,oromo,0.082,0.14364950575053542
sentence-transformers/LaBSE,albanian,pashto,0.804,0.8448963952583077
sentence-transformers/LaBSE,albanian,persian,0.936,0.9555692283936117
sentence-transformers/LaBSE,albanian,portuguese,0.945,0.9635416454928498
sentence-transformers/LaBSE,albanian,romanian,0.955,0.9690023366455599
sentence-transformers/LaBSE,albanian,serbian,0.956,0.9680686497785046
sentence-transformers/LaBSE,albanian,spanish,0.947,0.9630524547657363
sentence-transformers/LaBSE,albanian,tagalog,0.91,0.9340190708552168
sentence-transformers/LaBSE,albanian,tajik,0.872,0.908606714825022
sentence-transformers/LaBSE,albanian,tamil,0.922,0.9448458038611334
sentence-transformers/LaBSE,albanian,turkish,0.918,0.9429979208577091
sentence-transformers/LaBSE,albanian,urdu,0.928,0.9474232777187287
sentence-transformers/LaBSE,albanian,uyghur,0.872,0.9043548004017025
sentence-transformers/LaBSE,albanian,uzbek,0.849,0.887837738501421
sentence-transformers/LaBSE,albanian,vietnamese,0.926,0.9481430740759381
sentence-transformers/LaBSE,albanian,yoruba,0.545,0.6345318827607422
sentence-transformers/LaBSE,asante,albanian,0.101,0.1628892793255203
sentence-transformers/LaBSE,asante,assamese,0.05,0.10679019879175672
sentence-transformers/LaBSE,asante,azeri,0.113,0.17190371841490587
sentence-transformers/LaBSE,asante,bosnian-mihanovich,0.102,0.1618682718557701
sentence-transformers/LaBSE,asante,bosnian-rwwad,0.099,0.15760568238742986
sentence-transformers/LaBSE,asante,chinese,0.075,0.1356518110667185
sentence-transformers/LaBSE,asante,croatian,0.1,0.1608577346061393
